,Lapwing_ID,Test_Number,Urban,TimeStandingSec,area_explored,dummy enter,Head bob,Pose-fly,Puff,Scream,scrining,Shaking head,Tail wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,WalkingMeters,PercentageInCameraView,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,MinDisplacementDummy,Experiment,Head.BobBi1,PoseflyBi0,PuffBi0,ScreamBi2,scriningBi0,ShakingheadBi0,Tail.wingleBi1,Fly_Sequencessqrt,Total_Time_Fly_secSqrt,NumStopsLocations,TotalTimeStoped,MinDisplacementDummyBi120,LogWalkingMeters,ShowCameraBi50,TimeInCenter1,TimeInPeri98,NumberOfHighExploration0,MedianDisplacementCoresqrt,Months,WeightLoss,PC1_Stress,PC2_Tolerance,Initial SMI,Urban250,Experimental SMI
1,22720,1,0,83.7,5.77,1,0,0,0,0,0,0,3,1,3.34,3.34,NA,5.92,71,03/05/2022,8:52:00,1,180,2022,Male,32.525621,35.443768,189,2.5,97.5,9,1,1,7,57.98,CST,0,0,0,0,0,0,1,1,1.827566688,125,2,0,1.778336449,1,1,0,1,16.56502339,5,-4.761904762,1.262962962,-0.841133696,189.7872056,0,180.5194976
2,22720,2,0,133.3,19.23,1,0,1,1,0,0,0,2,1,6.56,6.56,NA,7.44,100,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,75.8,24.2,30,1,1,28,111.78,CST,0,1,1,0,0,0,1,1,2.561249695,171,4,0,2.006870849,1,1,0,1,17.12600362,5,0,2.306958105,-0.628165499,189.7872056,0,189.5454724
3,22720,3,0,126.43,14.74,1,0,0,0,0,2,1,1,0,0,0,NA,11.78,100,17/05/2022,8:44:00,1,183,2022,Male,32.525621,35.443768,189,0,100,23,0,2,21,205.9,CST,0,0,0,0,1,1,0,0,0,161,11,1,2.466403178,1,0,0,0,17.11344501,5,-3.174603175,1.386916542,-1.321808541,189.7872056,0,183.5281558
4,22726,1,0,9.6,24.36,1,3,0,0,4,0,0,0,5,4.12,20.58,0.89,17.66,23,10/05/2022,8:56:00,2,166,2022,Male,32.527179,35.445369,177,0.1,99.9,38,0,0,38,117,CST,1,0,0,1,0,0,0,2.236067977,4.536518489,6,4,0,2.871302195,0,0,0,0,13.45511055,5,-6.214689266,-0.094554976,2.096760799,176.898812,0,165.9341943
5,22726,2,0,78.43,32.69,1,2,2,0,2,0,0,2,6,4.58,27.47,1.44,12.87,73,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,2.2,97.8,51,1,0,50,0.66,CST,1,1,0,0,0,0,1,2.449489743,5.241183073,107,8,0,2.554899022,1,1,0,1,17.40114939,5,-3.95480226,-0.027023922,1.355478551,176.898812,0,169.9326087
6,22726,3,0,51.3,26.28,1,0,0,0,5,0,0,0,4,4.57,18.27,1.17,72.75,96,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,0.5,99.5,41,0,1,40,62.52,CST,0,0,0,1,0,0,0,2,4.274342055,45,30,0,4.287028906,1,0,0,0,17.94965181,5,-5.084745763,-2.242711842,-0.84615533,176.898812,0,167.9334015
7,22727,1,0,81.4,14.1,1,5,1,1,0,1,1,4,3,5.96,17.88,0.73,8.02,76,10/05/2022,8:26:00,1,181,2022,Male,32.524517,35.444488,188,4,96,22,1,0,21,86.96,CST,1,1,1,0,1,1,1,1.732050808,4.228474902,122,9,0,2.081938422,1,1,0,1,17.86113098,5,-3.723404255,1.905496408,-0.467716677,188.7830405,0,181.5223837
8,22727,2,0,102.33,23.72,1,2,2,1,0,0,1,3,4,4.28,17.11,0.54,15.16,92,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,23.2,76.8,37,0,1,36,136.79,CST,1,1,1,0,0,1,1,2,4.136423576,132,14,1,2.71866038,1,1,0,0,15.87450787,5,-3.191489362,2.041294069,0.780659082,188.7830405,0,182.5252698
9,22727,3,0,56.63,39.74,1,0,0,0,7,0,0,1,2,3.72,7.45,2,61.94,95,24/05/2022,9:41:00,3,185,2022,Male,32.524517,35.444488,188,3.1,96.9,62,0,2,60,73.67,CST,0,0,0,1,0,0,0,1.414213562,2.729468813,49,23,0,4.126166175,1,1,0,0,17.48427865,5,-1.595744681,-2.090613706,-0.444707603,188.7830405,0,185.533928
10,22728,1,0,66.8,5.77,1,2,0,1,2,0,0,3,3,4.27,12.81,0.87,5.52,57,10/05/2022,10:02:00,4,165,2022,Female,32.527179,35.445369,175,0,100,9,1,0,8,65.7,CST,1,0,1,0,0,0,1,1.732050808,3.579106034,94,4,0,1.70837786,1,0,0,1,17.73414785,5,-5.714285714,2.277213146,-0.95947447,177.4109222,0,166.5728156
