,Lapwing_ID,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Total SMI,Test_Number,Box_time,Fields 1,Urban,Bare_Ground,Clouds,Fields 2,Natural,Fields 3,Snow,mataim,WaterPonds,dirt road,Main roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,UrbanizationScore,Months,WeightLoss,LTEBinomial,Experiment SMI
1,22720,10.8,205,92,77.9,189.7872056,3,41.4,0,0,0,0,0,0,0,0,0,100,0,0,LTE,17/05/2022,8:44:00,1,183,2022,Male,32.525621,35.443768,189,0,5,-3.174603175,0,183.5281558
2,22720,10.8,205,92,77.9,189.7872056,1,168.29,0,0,0,0,0,0,0,0,0,100,0,0,LTE,03/05/2022,8:52:00,1,180,2022,Male,32.525621,35.443768,189,0,5,-4.761904762,0,180.5194976
3,22720,10.8,205,92,77.9,189.7872056,2,0.86,0,0,0,0,0,0,0,0,0,100,0,0,LTE,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,0,5,0,0,189.5454724
4,22726,10.2,206,94,75.5,176.898812,2,600,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,0,5,-3.95480226,1,169.9326087
5,22726,10.2,206,94,75.5,176.898812,1,600,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,10/05/2022,8:56:00,2,166,2022,Male,32.527179,35.445369,177,0,5,-6.214689266,1,165.9341943
6,22726,10.2,206,94,75.5,176.898812,3,600,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,0,5,-5.084745763,1,167.9334015
7,22727,11,205,94,77.7,188.7830405,2,0.97,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,0,5,-3.191489362,0,182.5252698
8,22727,11,205,94,77.7,188.7830405,3,112.96,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,24/05/2022,9:41:00,3,185,2022,Male,32.524517,35.444488,188,0,5,-1.595744681,0,185.533928
9,22727,11,205,94,77.7,188.7830405,1,258.29,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,LTE,10/05/2022,8:26:00,1,181,2022,Male,32.524517,35.444488,188,0,5,-3.723404255,1,181.5223837
10,22728,7.7,203,92,76.8,177.4109222,3,369.81,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,24/05/2022,8:25:00,1,174,2022,Female,32.527179,35.445369,175,0,5,-0.571428571,1,175.6586056
11,22728,7.7,203,92,76.8,177.4109222,1,598.36,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,10/05/2022,10:02:00,4,165,2022,Female,32.527179,35.445369,175,0,5,-5.714285714,1,166.5728156
12,22728,7.7,203,92,76.8,177.4109222,2,600,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,LTE,17/05/2022,9:23:00,2,179,2022,Female,32.527179,35.445369,175,0,5,2.285714286,1,180.7062666
