Row_Number,Lapwing_ID,Test_Number,Fields,Urban,Water_Ponds,Experiment,Date,time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,TimeStandingSec,Head_bobbing,peck,Pose_fly,preening,Puff,Call,screening,Shake_wings,Shaking_head,Tail_wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SE_Time_Fly_sec,Number_Stops_Locations,Total_Time_Stoped,Walking_Meters,Percentage_In_Camera_View,area_explored,TimeInCenter,TimeInPeri,TotalUniqueLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,PC1,PC2,SMI,Experiment_SMI,Spur_mm,Wing_mm,Tail_mm,Leg_mm,Time_to_emerge,Minimum_Disp_Threat
1,22720,1,0,0,100,LTE,03/05/2022,08:52:00,1,180,2022,Male,32.525621,35.443768,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.7872056,180.5194976,10.8,205,92,77.9,168.29,NA
2,22720,1,0,0,100,OFT,03/05/2022,08:52:00,1,180,2022,Male,32.525621,35.443768,189,271.93,1,0,4,0,3,0,1,1,2,8,2,4.47,8.94,4.23,358,8,12.09,89,19.87,80.4,19.6,31,1,4,26,0.642376674,-1.668309304,189.7872056,180.5194976,10.8,205,92,77.9,NA,NA
3,22720,1,0,0,100,CST,03/05/2022,08:52:00,1,180,2022,Male,32.525621,35.443768,189,83.7,0,NA,0,0,0,0,0,0,0,3,1,3.34,3.34,NA,125,2,5.92,71,5.77,2.5,97.5,9,1,1,7,1.262962962,-0.841133696,189.7872056,180.5194976,10.8,205,92,77.9,NA,57.98
4,22720,2,0,0,100,LTE,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.7872056,189.5454724,10.8,205,92,77.9,0.86,NA
5,22720,2,0,0,100,OFT,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,318.6,2,0,0,0,2,0,0,0,1,5,1,3.75,3.75,NA,399,12,16.15,100,21.15,51.2,48.8,33,2,5,26,0.530561508,-1.712080434,189.7872056,189.5454724,10.8,205,92,77.9,NA,NA
6,22720,2,0,0,100,CST,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,133.3,0,NA,1,0,1,0,0,0,0,2,1,6.56,6.56,NA,171,4,7.44,100,19.23,75.8,24.2,30,1,1,28,2.306958105,-0.628165499,189.7872056,189.5454724,10.8,205,92,77.9,NA,111.78
7,22720,3,0,0,100,LTE,17/05/2022,08:44:00,1,183,2022,Male,32.525621,35.443768,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.7872056,183.5281558,10.8,205,92,77.9,41.4,NA
8,22720,3,0,0,100,OFT,17/05/2022,08:44:00,1,183,2022,Male,32.525621,35.443768,189,261.5,0,0,0,0,2,0,3,2,0,4,1,5.65,5.65,NA,356,14,18.31,91,25,68.9,31.1,39,2,3,34,0.344249766,-1.175290946,189.7872056,183.5281558,10.8,205,92,77.9,NA,NA
9,22720,3,0,0,100,CST,17/05/2022,08:44:00,1,183,2022,Male,32.525621,35.443768,189,126.43,0,NA,0,0,0,0,2,0,1,1,0,0,0,NA,161,11,11.78,100,14.74,0,100,23,0,2,21,1.386916542,-1.321808541,189.7872056,183.5281558,10.8,205,92,77.9,NA,205.9
10,22726,1,22.37,0,60.44,LTE,10/05/2022,08:56:00,2,166,2022,Male,32.527179,35.445369,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.898812,165.9341943,10.2,206,94,75.5,600,NA
11,22726,1,22.37,0,60.44,OFT,10/05/2022,08:56:00,2,166,2022,Male,32.527179,35.445369,177,16.07,0,0,0,0,0,13,1,0,0,1,3,4.19,12.56,0.39,12,5,8.4,10,17.31,0,100,27,0,0,27,-3.168465776,-0.666112416,176.898812,165.9341943,10.2,206,94,75.5,NA,NA
12,22726,1,22.37,0,60.44,CST,10/05/2022,08:56:00,2,166,2022,Male,32.527179,35.445369,177,9.6,3,NA,0,0,0,4,0,0,0,0,5,4.12,20.58,0.89,6,4,17.66,23,24.36,0.1,99.9,38,0,0,38,-0.094554976,2.096760799,176.898812,165.9341943,10.2,206,94,75.5,NA,117
13,22726,2,22.37,0,60.44,LTE,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.898812,169.9326087,10.2,206,94,75.5,600,NA
14,22726,2,22.37,0,60.44,OFT,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,224.97,9,0,0,0,3,4,1,0,2,6,5,4.9,24.51,0.43,268,45,64.95,97,36.54,6.5,93.5,57,1,4,52,-0.158586356,0.792234523,176.898812,169.9326087,10.2,206,94,75.5,NA,NA
15,22726,2,22.37,0,60.44,CST,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,78.43,2,NA,2,0,0,2,0,0,0,2,6,4.58,27.47,1.44,107,8,12.87,73,32.69,2.2,97.8,51,1,0,50,-0.027023922,1.355478551,176.898812,169.9326087,10.2,206,94,75.5,NA,0.66
16,22726,3,22.37,0,60.44,LTE,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.898812,167.9334015,10.2,206,94,75.5,600,NA
17,22726,3,22.37,0,60.44,OFT,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,150.03,0,0,0,0,3,0,0,0,1,7,1,2.75,2.75,NA,131,67,131.47,97,30.77,0.7,99.3,48,1,4,43,-1.280158436,0.758493364,176.898812,167.9334015,10.2,206,94,75.5,NA,NA
18,22726,3,22.37,0,60.44,CST,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,51.3,0,NA,0,0,0,5,0,0,0,0,4,4.57,18.27,1.17,45,30,72.75,96,26.28,0.5,99.5,41,0,1,40,-2.242711842,-0.84615533,176.898812,167.9334015,10.2,206,94,75.5,NA,62.52
19,22727,1,16.43,0,83.44,LTE,10/05/2022,08:26:00,1,181,2022,Male,32.524517,35.444488,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.7830405,181.5223837,11,205,94,77.7,258.29,NA
20,22727,1,16.43,0,83.44,OFT,10/05/2022,08:26:00,1,181,2022,Male,32.524517,35.444488,188,197.97,5,0,1,0,4,0,4,0,3,11,5,6.18,30.91,0.84,285,33,25.52,85,52.56,27.5,72.5,82,0,3,79,1.512249081,0.879891602,188.7830405,181.5223837,11,205,94,77.7,NA,NA
21,22727,1,16.43,0,83.44,CST,10/05/2022,08:26:00,1,181,2022,Male,32.524517,35.444488,188,81.4,5,NA,1,0,1,0,1,0,1,4,3,5.96,17.88,0.73,122,9,8.02,76,14.1,4,96,22,1,0,21,1.905496408,-0.467716677,188.7830405,181.5223837,11,205,94,77.7,NA,86.96
22,22727,2,16.43,0,83.44,LTE,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.7830405,182.5252698,11,205,94,77.7,0.97,NA
23,22727,2,16.43,0,83.44,OFT,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,245.6,3,0,1,0,2,0,0,2,3,13,5,4.14,20.68,0.55,316,30,29.72,93,43.59,80.5,19.5,68,0,6,62,0.97953138,0.377219117,188.7830405,182.5252698,11,205,94,77.7,NA,NA
24,22727,2,16.43,0,83.44,CST,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,102.33,2,NA,2,0,1,0,0,0,1,3,4,4.28,17.11,0.54,132,14,15.16,92,23.72,23.2,76.8,37,0,1,36,2.041294069,0.780659082,188.7830405,182.5252698,11,205,94,77.7,NA,136.79
25,22727,3,16.43,0,83.44,LTE,24/05/2022,09:41:00,3,185,2022,Male,32.524517,35.444488,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.7830405,185.533928,11,205,94,77.7,112.96,NA
26,22727,3,16.43,0,83.44,OFT,24/05/2022,09:41:00,3,185,2022,Male,32.524517,35.444488,188,158.17,2,0,0,0,2,0,0,1,1,6,1,2.5,2.5,NA,175,58,122.45,96,48.72,5.5,94.5,76,0,5,71,-1.044752571,1.433257354,188.7830405,185.533928,11,205,94,77.7,NA,NA
27,22727,3,16.43,0,83.44,CST,24/05/2022,09:41:00,3,185,2022,Male,32.524517,35.444488,188,56.63,0,NA,0,0,0,7,0,0,0,1,2,3.72,7.45,2,49,23,61.94,95,39.74,3.1,96.9,62,0,2,60,-2.090613706,-0.444707603,188.7830405,185.533928,11,205,94,77.7,NA,73.67
