,Lapwing_ID,Test_Number,TimeStandingSec,Fields.1,Urban,Bare_Ground,Clouds,Fields.2,Natural,Fields.3,Snow,mataim,WaterPonds,dirt.road,Main.roads,Experiment,Date,Time,Trial_order,Weight,Year,Sex,Nest_X,Nest_Y,Initial_weight,Head.bob,peck,Pose.fly,prening,Puff,Scream,scrining,Shake.wings,Shaking.head,Tail.wingle,Fly_Sequences,Mean_Time_Fly_sec,Total_Time_Fly_sec,SD_Time_Fly_sec,NumStopsLocations,TotalTimeStoped,WalkingMeters,PercentageInCameraView,area_explored,TimeInCenter,TimeInPeri,TotalLocationsVisited,NumberOfHighExploration,NumberOfMedianExploration,NumberOfLowExploration,HeadBobBi1,PoseflyBi0,PreningBi0,PffSqrt,ScreamBi0,scriningBi0,ShakeWingBi0,ShakeHeadBi1,TailWingeSqRt,Fly_SequencesSqrT,Total_Time_Fly_secSqrT,Mean_Time_Fly_secSqrT,NumStopsLocationsSame,TotalTimeStopedSqrT,WalkingMetersLog,ShowCameraBi50,area_exploredSame,TimeInCenterBi10,TimeInPeri90,TotalLocationsVisitedSame,NumberOfHighExplorationBi1,TimeToEmergeBinomial,PercentageInCameraViewBi98,PC1_Stress,PC2_Mobility,Initial SMI,Box_time.y,Urban250,Months,Experiment SMI
1,22720,1,271.93,0,0,0,0,0,0,0,0,0,100,0,0,OFT,03/05/2022,8:52:00,1,180,2022,Male,32.525621,35.443768,189,1,0,4,0,3,0,1,1,2,8,2,4.47,8.94,4.23,358,8,12.09,89,19.87,80.4,19.6,31,1,4,26,0,1,0,1.732050808,0,1,1,1,2.828427125,1.414213562,2.989983278,2.114237451,358,2.828427125,2.492378665,1,19.87,1,0,31,0,0,0,0.642376674,-1.668309304,189.7872056,168.29,0,5,180.5194976
2,22720,2,318.6,0,0,0,0,0,0,0,0,0,100,0,0,OFT,10/05/2022,10:39:00,5,189,2022,Male,32.525621,35.443768,189,2,0,0,0,2,0,0,0,1,5,1,3.75,3.75,NA,399,12,16.15,100,21.15,51.2,48.8,33,2,5,26,1,0,0,1.414213562,0,0,0,0,2.236067977,1,1.936491673,1.936491673,399,3.464101615,2.78192005,1,21.15,1,0,33,1,0,1,0.530561508,-1.712080434,189.7872056,0.86,0,5,189.5454724
3,22720,3,261.5,0,0,0,0,0,0,0,0,0,100,0,0,OFT,17/05/2022,8:44:00,1,183,2022,Male,32.525621,35.443768,189,0,0,0,0,2,0,3,2,0,4,1,5.65,5.65,NA,356,14,18.31,91,25,68.9,31.1,39,2,3,34,0,0,0,1.414213562,0,1,1,0,2,1,2.376972865,2.376972865,356,3.741657387,2.907447359,1,25,1,0,39,1,0,0,0.344249766,-1.175290946,189.7872056,41.4,0,5,183.5281558
4,22726,1,16.07,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,OFT,10/05/2022,8:56:00,2,166,2022,Male,32.527179,35.445369,177,0,0,0,0,0,13,1,0,0,1,3,4.19,12.56,0.39,12,5,8.4,10,17.31,0,100,27,0,0,27,0,0,0,0,1,1,0,0,1,1.732050808,3.544009029,2.046948949,12,2.236067977,2.128231706,0,17.31,0,1,27,0,1,0,-3.168465776,-0.666112416,176.898812,600,0,5,165.9341943
5,22726,2,224.97,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,OFT,17/05/2022,10:59:00,5,170,2022,Male,32.527179,35.445369,177,9,0,0,0,3,4,1,0,2,6,5,4.9,24.51,0.43,268,45,64.95,97,36.54,6.5,93.5,57,1,4,52,1,0,0,1.732050808,1,1,0,1,2.449489743,2.236067977,4.950757518,2.213594362,268,6.708203932,4.173617743,1,36.54,0,1,57,0,1,0,-0.158586356,0.792234523,176.898812,600,0,5,169.9326087
6,22726,3,150.03,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,OFT,24/05/2022,12:41:00,8,168,2022,Male,32.527179,35.445369,177,0,0,0,0,3,0,0,0,1,7,1,2.75,2.75,NA,131,67,131.47,97,30.77,0.7,99.3,48,1,4,43,0,0,0,1.732050808,0,0,0,0,2.645751311,1,1.658312395,1.658312395,131,8.185352772,4.878778689,1,30.77,0,1,48,0,1,0,-1.280158436,0.758493364,176.898812,600,0,5,167.9334015
7,22727,1,197.97,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,OFT,10/05/2022,8:26:00,1,181,2022,Male,32.524517,35.444488,188,5,0,1,0,4,0,4,0,3,11,5,6.18,30.91,0.84,285,33,25.52,85,52.56,27.5,72.5,82,0,3,79,1,1,0,2,0,1,0,1,3.31662479,2.236067977,5.55967625,2.485960579,285,5.744562647,3.239462458,1,52.56,1,0,82,0,1,0,1.512249081,0.879891602,188.7830405,258.29,0,5,181.5223837
8,22727,2,245.6,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,OFT,17/05/2022,10:00:00,3,182,2022,Male,32.524517,35.444488,188,3,0,1,0,2,0,0,2,3,13,5,4.14,20.68,0.55,316,30,29.72,93,43.59,80.5,19.5,68,0,6,62,1,1,0,1.414213562,0,0,1,1,3.605551275,2.236067977,4.5475268,2.034698995,316,5.477225575,3.39182022,1,43.59,1,0,68,0,0,0,0.97953138,0.377219117,188.7830405,0.97,0,5,182.5252698
9,22727,3,158.17,16.43,0,0,0,0,0,0,0,0,83.44,0.13,0,OFT,24/05/2022,9:41:00,3,185,2022,Male,32.524517,35.444488,188,2,0,0,0,2,0,0,1,1,6,1,2.5,2.5,NA,175,58,122.45,96,48.72,5.5,94.5,76,0,5,71,1,0,0,1.414213562,0,0,1,0,2.449489743,1,1.58113883,1.58113883,175,7.615773106,4.807702783,1,48.72,0,1,76,0,0,0,-1.044752571,1.433257354,188.7830405,112.96,0,5,185.533928
10,22728,1,295.77,22.37,0,0,0,0,16.88,0,0,0,60.44,0.31,0,OFT,10/05/2022,10:02:00,4,165,2022,Female,32.527179,35.445369,175,14,0,0,1,3,0,0,0,2,5,2,6.74,13.49,1.21,390,11,15.91,97,18.59,7.5,92.5,29,1,2,26,1,0,1,1.732050808,0,0,0,1,2.236067977,1.414213562,3.672873534,2.596150997,390,3.31662479,2.766947842,1,18.59,0,1,29,0,1,0,0.370807456,-2.364895468,177.4109222,598.36,0,5,166.5728156
